Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;;;;;2;number;;Код последней ошибки;
;;;;;40;string;;Внутренний текст ошибки;
d8;;;;Отправить данные ОФД;;;;Отправить данные ОФД;
;4;password;;пароль оператора;2;error#;;код ошибки;
;2;number;;Данные для ОФД [>1000];1;number;;порядковый номер оператора;
;1;number;;Тип оператора [0];;;;;
;;;0;;;;;;
;1;number;;Длина "Данных для ОФД";;;;;
;?;data;;Значение "Данных для ОФД";;;;;
d9;;;;Открыть смену;;;;Открыть смену;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
da;;;;Открыть нефискальный документ;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;bitfield;;Флаг открытого документа 1;1;number;;порядковый номер оператора;
;;;;Бит 0 - не используется [0];;;;;
;;;;Бит 1 - Не печатать ФИО оператора;;;;;
;;;;Бит 2 - Не печатать заводской номер ККТ;;;;;
;;;;Бит 3 - не используется [0];;;;;
;;;;Бит 4 - не используется [0];;;;;
;;;;Бит 5 - Не печатать заголовок;;;;;
;;;;Бит 6 - Не печатать дату и время;;;;;
;;;;Бит 7 - не используется [0];;;;;
;1;bitfield;;Флаг открытого документа 2;;;;;
;;;;Бит 0 - не используется [0];;;;;
;;;;Бит 1 - не используется [0];;;;;
;;;;Бит 2 - не используется [0];;;;;
;;;;Бит 3 - не используется [0];;;;;
;;;;Бит 4 - не используется [0];;;;;
;;;;Бит 5 - не используется [0];;;;;
;;;;Бит 6 - не используется [0];;;;;
;;;;Бит 7 - не используется [0];;;;;
db;;;;Печатать текст;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;bitfield;;Флаг открытого документа 1;1;number;;порядковый номер оператора;
;;;;Бит 0 - ;;;;;
;;;;Бит 1 - Двойная ширина;;;;;
;;;;Бит 2 - не используется [1];;;;;
;;;;Бит 3 - Сжатый;;;;;
